Rayon,Grp de famille,Famille,Sous famille,DT,DR,Magasin,Barcode,Produit,Assort-typo,Nb jours sans ventes,Motif non détention,Stock UG,SMP,VMH mag,VMH nat,CA TTC mag 3 mois,CA TTC moy 3 mois Market,Potentiel gain mensuel
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300005 - INCONTINENCE,DTF SUD EST,RHONE ALPES F,MORZINE,7322540426465,10 TENA MEN LEVEL 2,DPK-1,null,Dépicking,0,3,null,3.014267185,null,179.616237417,59.872079139
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300002 - MOUCHOIRS,DTF SUD EST,RHONE ALPES F,MORZINE,3560071187620,BTE MCHRS ECOPLANET 100 F 3 P,DPK-1,null,Dépicking,0,3,null,9.572146944,null,181.030524708,60.343508236
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF SUD EST,RHONE ALPES F,MORZINE,7322540833188,MOLTONEL PH 9RLX ROSE BLC,DPK-1,669,Dépicking,0,3,null,8.729452055,null,589.85103122,196.617010407
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300002 - MOUCHOIRS,DTF SUD EST,RHONE ALPES F,MORZINE,5029053579375,X2 LT BTE THE ORIGINAL KLEENEX,DPK-1,40,Dépicking,0,6,null,8.915576923,25.52,309.30489548,103.101631827
03 - D.P.H.,320 - PRODUITS D'ENTRETIEN & DIVERS,"320 - UNIVERS ""MAISON"" - ENTRETIEN",320005 - NETTOYANTS MENAGERS,DTF SUD EST,RHONE ALPES F,MORZINE,3077313982061,5L VINAIGRE 14O ECO,DPK-1,null,Dépicking,0,3,null,1.725479351,null,148.27011465,49.42337155
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300004 - HYGIENE FEMININE,DTF SUD EST,RHONE ALPES F,MORZINE,3560071017491,12 SERVI.INCO MAXI NUIT CRF SF,DPK-1,573,Dépicking,0,3,null,6.585924563,null,320.001996374,106.667332125
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300002 - MOUCHOIRS,DTF SUD EST,RHONE ALPES F,MORZINE,3560070317028,24X9 MINI MOUCHOIR 4P CRF SOFT,DPK-1,null,Dépicking,0,3,null,11.41121643,null,364.361588899,121.453862966
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF SUD EST,RHONE ALPES F,MORZINE,7322540948318,6XROULEAUX JUST1 XXL LOTUS,DPK-1,670,Dépicking,0,3,null,8.164781145,null,813.845283,271.281761
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF IDF NORMANDIE,PARIS SUD F,NANTERRE -PICASSO 2,3133200054072,6 RLX PH ULTRA DOUX AQUA LOTUS,DPK-2,626,Dépicking,0,1,null,6.954347826,null,352.977193296,117.659064432
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF IDF NORMANDIE,PARIS SUD F,NANTERRE CHEMIN ILE,3133200095037,6RLX PH STYLE MOLT AQUA LOTUS,DPK-2,null,Dépicking,null,4,null,6.289393939,null,325.024963519,108.341654506
03 - D.P.H.,300 - HYGIENE,300 - HYGIENE,300003 - PAPIER TOILETTE,DTF IDF NORMANDIE,PARIS SUD F,NANTERRE CHEMIN ILE,3133200056748,6 RLX PH COLLECT AQUAT.LOTUS,DPK-2,null,Dépicking,null,1,null,8.466701066,null,356.274236923,118.758078974
